county,city,lat,lng
Greater Manchester,Bolton,53.578,-2.429
Lancashire,Blackburn,53.748,-2.483
Lancashire,Burnley,53.79,-2.24
Greater Manchester,Bury,53.593,-2.298
Cumbria,Carlisle,54.892,-2.932
Cheshire,Crewe,53.098,-2.441
West Yorkshire,Halifax,53.724,-1.858
West Yorkshire,Huddersfield,53.645,-1.779
Lancashire,Lancaster,54.047,-2.801
Greater Manchester,Oldham,53.54,-2.111
West Yorkshire,Leeds,53.8,-1.549
Greater Manchester,Manchester,53.48,-2.242
Lancashire,Preston,53.763,-2.704
Greater Manchester,Rochdale,53.616,-2.155
Greater Manchester,Salford,53.487,-2.29
Staffordshire,Stoke-on-Trent,53.003,-2.179
Greater Manchester,Stockport,53.409,-2.157
Cheshire,Warrington,53.39,-2.597
Greater Manchester,Wigan,53.545,-2.632
Merseyside,Liverpool,53.408,-2.991
South Yorkshire,Sheffield,53.381,-1.47
Merseyside,Southport,53.647,-3.006
West Yorkshire,Bradford,53.795,-1.759
Cheshire,Macclesfield,53.259,-2.125
Lancashire,Blackpool,53.814,-3.055
Lancashire,Accrington,53.753,-2.364
Greater Manchester,Leigh,53.497,-2.516
Greater Manchester,Middleton,53.55,-2.2
Greater Manchester,Ashton-under-Lyne,53.489,-2.098
